,yaml_name,mean_distance_to_orig,sigma,gamma,magrin,composite_balance,adaptive_score_offset
0,_1.2153524767357093,0.17545373606762996,1.2153524767357093,0.1,0.0,0.4,0.33051791880002995
1,_23.53429566125474,0.18533689055972974,23.53429566125474,0.3,0.25,0.7,0.1871243095533419
2,_17.301120593196213,0.18179109162475096,17.301120593196213,0.1,0.0,0.7,0.18027476700928718
3,_14.373827310576713,0.18719527752928306,14.373827310576713,0.1,0.1,0.9,0.24194268734208718
4,_2.537493899083472,0.19074829029422002,2.537493899083472,0.1,0.0,1.0,0.578261010841616
5,_12.324707562380986,0.2323609786000232,12.324707562380986,0.0,0.1,0.3,0.9756510411508412
6,_12.36964148526114,0.21441836355829255,12.36964148526114,0.0,0.2,0.2,0.5280634772889848
7,_10.225583581692737,0.21267224757685327,10.225583581692737,0.1,0.15,0.3,0.5608138082359911
8,_8.659490757043852,0.18824845813126548,8.659490757043852,0.0,0.2,0.4,0.32774618927168697
9,_16.0681746233402,0.2105381657482545,16.0681746233402,0.1,0.1,0.9,0.41637539528937395
10,_13.951188095289432,0.17951642941377968,13.951188095289432,0.1,0.15,0.3,0.16422203094171595
11,_0.4672401904167237,0.169932519343503,0.4672401904167237,0.1,0.1,0.3,0.24045193277647922
12,_17.768071835656432,0.23193350199145835,17.768071835656432,0.3,0.15,0.8,0.5774421290628878
13,_17.358894520317605,0.22831748375321886,17.358894520317605,0.3,0.0,0.2,0.5539241629717973
14,_0.5551619914795034,0.19119229158690632,0.5551619914795034,0.0,0.2,0.6,0.8326291122693782
